,Measurement,Coefficient of Determination R^2
0,H2O,0.7905102533468759
1,triplet_10,0.9880067687891706
2,quartet_10,0.9448188907511148
3,acideH_10_calc,0.9876500265316442
4,H2O_10_calc,0.9998937043741446
5,acideH+H2O_10,0.9998905049690776
6,triplet_20,0.9951312511245625
7,quartet_20,0.9285459432222265
8,acideH_20_calc,0.9832370179205215
9,H2O_20_calc,0.9935311999302735
10,acideH+H2O_20,0.9935455547164986
11,triplet_30,0.9724749991472329
12,quartet_30,0.9863599754168951
13,acideH_30__calc,0.9836921122871937
14,H2O_30_calc,0.9927076851288995
15,acideH+H2O_30,0.9926483124121324
16,triplet_40,0.9950815841725236
17,quartet_40,0.9968781524463237
18,acideH_40_calc,0.9966228884156124
19,H2O_40_calc,0.9973621723911712
20,acideH+H2O_40,0.9974770165760181
21,triplet_50,0.9924127276617393
22,quartet_50,0.9947386939162666
23,acideH_50_calc,0.9937006486057072
24,H2O_50_calc,0.9984073692773558
25,acideH+H2O_50,0.9983730163131721
26,triplet_60,0.9998418760545879
27,quartet_60,0.9999818908186483
28,acideH_60_calc,0.9999633931236316
29,H2O_60_calc,0.7143466281829594
30,acideH+H2O_60,0.9986554102960943
31,triplet_70,0.9999403108982942
32,quartet_70,0.9994995264474349
33,acideH_70_calc,0.9998298369069745
34,H2O_70_calc,1.0
35,acideH+H2O_70,0.9954670744988009
36,triplet_80,0.9999750685572528
37,quartet_80,0.9999808248401554
38,acideH_80_calc,0.9999840047970157
39,H2O_80_calc,1.0
40,acideH+H2O_80,0.9996419319133153
41,triplet_90,0.9999638953413325
42,quartet_90,0.9999829199300849
43,acideH_90_calc,0.9999818377871416
44,H2O_90_calc,1.0
45,acideH+H2O_90,0.9985487368733852
46,triplet_100,0.9999847583473344
47,quartet_100,0.9999695716845072
48,acideH_100_calc,0.9999957325389525
49,H2O_100_calc,0.9999644565920656
50,acideH+H2O_100,0.9993310012399237
