,Measurement,Coefficient of Determination R^2
0,H2O,0.9999563586454907
1,triplet_10,0.9989777700004671
2,quartet_10,0.9499012413579754
3,acideH+H2O_10,0.9999484502829046
4,triplet_20,0.9997179443105493
5,quartet_20,0.9978979761830816
6,acideH+H2O_20,0.9997504250442306
7,triplet_30,0.99985685947879
8,quartet_30,0.9999654130184924
9,acideH+H2O_30,0.9999549425740533
10,triplet_40,0.9998863830190761
11,quartet_40,0.9998863830190761
12,acideH+H2O_40,0.9999051579473357
13,triplet_50,0.9959914289189833
14,quartet_50,0.9341645364838436
15,acideH+H2O_50,0.4340534232355029
16,triplet_60,0.9995501506908212
17,quartet_60,0.9804375072759919
18,H2O_60,0.9965736234067079
19,triplet_70,0.9999231124435674
20,quartet_70,0.9999678822101586
21,H2O_70,0.9988801229633695
22,triplet_80,0.9999337032105688
23,quartet_80,0.9997592593884556
24,H2O_80,0.9997592593884556
25,triplet_90,0.9999527977526448
26,quartet_90,0.9999563334144124
27,H2O_90,0.9996287699783458
28,triplet_100,0.9997991969207047
29,quartet_100,0.9999699060964096
