H2O,triplet_10,quartet_10,acideH+H2O_10,triplet_20,quartet_20,acideH+H2O_20,triplet_30,quartet_30,acideH+H2O_30,triplet_40,quartet_40,acideH+H2O_40,triplet_50,quartet_50,acideH+H2O_50,triplet_60,quartet_60,H2O_60,triplet_70,quartet_70,H2O_70,triplet_80,quartet_80,H2O_80,triplet_90,quartet_90,H2O_90,triplet_100,quartet_100
5266970,468086,290791,3893540,944942,570703,2538680,1052110,757211,1466230,1322050,1322050,853216,1577270,921096,1552470,1578290,267474,398236,1735540,1179000,303854,1090000,604941,604941,2107550,1161130,92191.3,1812370,1173280
4441200,469445,240581,3953360,907592,585889,2520730,1069730,670956,1496040,1289130,1289130,818583,1529890,945672,1609880,1629400,201950,356159,1721230,1066140,260742,1080000,481437,481437,1872250,1181050,92613.5,1979610,1185590
4031440,468422,224459,3750230,887265,586267,2446010,1031070,649207,1451030,1242270,1242270,780825,1581070,811663,1259250,1557860,184950,329709,1652040,1025010,241789,1040000,455894,455894,1795150,1130370,86471,1889180,1130290
3487690,448283,194066,3377250,845670,560310,2275660,980216,618249,1358560,1179860,1179860,727928,1510010,759454,1181950,1466730,171495,305067,1551130,966806,223434,971074,427204,427204,1675820,1057330,79421.6,1758290,1052210
2821850,402862,154700,2951460,794776,502721,2016480,916233,579540,1237570,1099600,1099600,668781,1374080,704876,1090390,1348580,156316,275686,1428950,889253,201600,890536,395503,395503,1528430,964736,71484.5,1585460,955490
2147380,361303,128383,2471130,734518,462010,1768740,840319,531626,1097730,1003910,1003910,588755,1203030,603743,934162,1215680,142143,249249,1283100,802003,178927,797575,355155,355155,1356010,856190,62523.7,1383850,844742
1539510,317655,109251,2003890,659694,416930,1510110,756922,478247,947225,899977,899977,511826,1061460,533310,845509,1074260,130316,218991,1127060,702879,152441,697353,312794,312794,1174290,742453,53174.7,1182220,725545
1047340,276204,100681,1568480,584798,371080,1257860,669817,422453,795947,790726,790726,430970,953194,557829,1141280,930117,113898,188707,965856,605392,128635,594849,266488,266488,991355,627784,43999.9,979728,606601
672040,234596,83181.6,1173470,515134,324884,1017310,581594,366841,651688,682436,682436,354140,812822,518553,1191390,789774,96859,156767,809891,505930,102214,495676,224123,224123,813768,513761,35007.3,793656,494260
405754,192028,65793.5,844241,437113,277033,798577,494775,312246,518648,577708,577708,283369,670229,425330,976493,656240,93172.1,133662,663736,415761,82149.8,402732,182773,182773,653296,412829,27254.9,628698,390820
233803,154827,59191.5,592933,362392,231046,606859,414246,261270,403404,479462,479462,222242,535027,331552,750830,534024,66907.9,100981,532751,333953,64125.4,320042,145010,145010,511601,323760,20512.1,481802,300507
