H2O,triplet_10,quartet_10,acideH_10_calc,H2O_10_calc,acideH+H2O_10,triplet_20,quartet_20,acideH_20_calc,H2O_20_calc,acideH+H2O_20,triplet_30,quartet_30,acideH_30__calc,H2O_30_calc,acideH+H2O_30,triplet_40,quartet_40,acideH_40_calc,H2O_40_calc,acideH+H2O_40,triplet_50,quartet_50,acideH_50_calc,H2O_50_calc,acideH+H2O_50,triplet_60,quartet_60,acideH_60_calc,H2O_60_calc,acideH+H2O_60,triplet_70,quartet_70,acideH_70_calc,H2O_70_calc,acideH+H2O_70,triplet_80,quartet_80,acideH_80_calc,H2O_80_calc,acideH+H2O_80,triplet_90,quartet_90,acideH_90_calc,H2O_90_calc,acideH+H2O_90,triplet_100,quartet_100,acideH_100_calc,H2O_100_calc,acideH+H2O_100
61416.6,229017,170563,14931.31,1720878.69,1735810,320822,219122,20001.51,1226268.49,1246270,311147,230003,20218.21,689557.79,709776,383280,235499,22949,523347,546296,493966,283905,31710.92,457921.08,489632,707087,373214,66217.06,113856.94,180074,694203,390865,123256.71,1,163063,688127,392454,174686.49,1,190837,679929,408512,199876.81,1,244328,693281,421814,212952,139504,352456
16215.5,197632,195962,15138.05,1686101.95,1701240,279935,183014,17074.47,1127555.53,1144630,312934,210567,19374.95,643327.05,662702,362261,227880,21937.99,487495.01,509433,451413,287667,30438.44,439263.56,469702,648148,381115,63755.95,102980.05,166736,654631,403225,121232.24,1,154894,649711,391497,169234.2,1,200602,660836,407934,196790.59,1,235292,678884,418437,209826,127126,336952
15562.4,219664,140190,13240.28,1585339.72,1598580,271742,150354,15313.52,1012616.48,1027930,310865,204816,19045.38,619426.62,638472,364195,227520,21981.43,479342.57,501324,456522,287827,30622.85,436714.15,467337,623034,367504,61376.22,94212.78,155589,632194,385091,116454.25,1,144899,628436,377942,163541.67,1,187855,635783,393084,189472.74,1,222493,651290,403114,201703,117107,318810
14049.3,204598,131867,12391.86,1450348.14,1462740,262057,149198,14961.87,981927.13,996889,285956,195566,17850.32,580292.68,598143,347873,220057,21124.06,457043.94,478168,446698,276641,29705.71,409060.29,438766,590322,346171,57993.97,80019.03,138013,595391,362814,109695.25,1,129589,590772,355843,153853.46,1,169804,598561,368740,178071.37,1,201467,610953,375893,188668,102670,291338
13038.9,191115,117794,11326.59,1282783.41,1294110,241970,141455,13985.63,883385.37,897371,304556,183517,17866.54,524713.46,542580,332685,209667,20165.22,405937.78,426103,427207,267543,28563.28,381897.72,410461,543058,319546,53436.24,65155.76,118592,549805,339486,101939.08,1,113587,541721,326029,141024.05,1,146178,543891,336433,162125.33,1,175451,557866,342255,172039,85272,257311
10852.7,173685,105737,10232.89,1099617.11,1109850,223271,155890,14076.58,817439.42,831516,279359,182540,17044.98,506244.02,523289,313259,195026,18875.66,351410.34,370286,394299,246617,26346.64,334995.36,361342,489806,287350,48128.77,48891.73,97020.5,493371,303806,91355.28,1,96111.6,487202,291690,126517.89,1,121889,487964,300189,145071.83,1,148588,494007,303049,152339,67624,219963
9563.79,156542,91906.8,9066.12,921230.88,930297,202244,139495,12671.73,691551.27,704223,266662,169165,16035.55,447754.45,463790,289508,179384,17404.55,312473.45,329878,356665,224470,23903.93,281829.07,305733,429933,254124,42394.49,33483.31,75877.8,431890,271217,80731.96,1,76117.7,426113,255571,110747.57,1,98129.7,424174,261164,126157.55,1,120803,425778,260860,131218,50393,181611
8360.27,136622,79771.2,7892.11,739438.89,747331,192511,125242,11713.62,566958.38,578672,220212,139810,13247.48,339536.52,352784,247276,159753,15171.16,246186.84,261358,320194,199474,21353.99,234579.01,255933,369854,217452,36379.27,19243.73,55623,371992,229794,68985.52,1,65875,364296,218326,94646.56,1,76880.4,360591,221779,107191.78,1,95777.7,358252,219208,110340,36242,146582
7651.14,121306,68179.1,6884.98,572561.02,579446,167981,98155.5,9707.02,405288.98,414996,194542,117885,11443.13,274469.87,285913,227776,138877,13587.88,187716.12,201304,274183,172756,18386.1,190729.9,209116,309918,182726,30524.1,8873.8,39397.9,307575,191675,57281.14,1,48653.4,303575,182559,78998.83,1,58053.5,297773,183191,88529.15,1,73403.9,292757,179777,90323,24716,115039
7723.52,100937,58265.4,5799.78,426831.22,432631,144832,91144.6,8670.3,348854.7,357525,178053,103001,10247.11,223855.89,234103,195521,121513,11771.32,155354.68,167126,231685,145548,15513.99,148091.01,163605,253293,150194,25013.99,3273.61,28287.6,251247,155619,46653.25,1,30593,245446,147534,63857.99,1,42251.2,238509,147566,71103.24,1,55309.9,232971,143182,71906,15922,87828.3
8495.97,85323,48331.9,4860.09,306410.91,311271,119237,75891.2,7177.51,262318.49,269496,145880,87810.8,8553.66,172075.34,180629,163925,101294,9841.86,115413.14,125255,193315,121164,12930.23,116352.77,129283,199251,120636,19872.05,1,19853.9,200310,123617,37129.61,1,21655.7,195885,117241,50860.5,1,28262.9,188381,116586,56167.26,1,41481.7,180397,111620,55860,9609,65468.6
