triplet_90_Msg1,quartet_90_Msg1,acidicH_90_Msg1,H2O_90_Msg1,triplet_90_Msg2,quartet_90_Msg2,acidicH_90_Msg2,H2O_90_Msg2,triplet_90_Msg3,quartet_90_Msg3,acidicH_90_Msg3,H2O_90_Msg3,triplet_90_Msg4,quartet_90_Msg4,acidicH_90_Msg4,H2O_90_Msg4,triplet_90_Msg5,quartet_90_Msg5,acidicH_90_Msg5,H2O_90_Msg5,triplet_90_Msg6,quartet_90_Msg6,acidicH_90_Msg6,H2O_90_Msg6,triplet_90_Msg7,quartet_90_Msg7,acidicH_90_Msg7,H2O_90_Msg7,triplet_10_Msg1,quartet_10_Msg1,acidicH+H2O_10_Msg1,triplet_10_Msg2,quartet_10_Msg2,acidicH+H2O_10_Msg2,triplet_10_Msg3,quartet_10_Msg3,acidicH+H2O_10_Msg3,triplet_10_Msg4,quartet_10_Msg4,acidicH+H2O_10_Msg4,triplet_10_Msg5,quartet_10_Msg5,acidicH+H2O_10_Msg5
1940870,1282650,116185,658713,1934090,1280490,658792,116195,2023390,1253490,610265,106220,1911430,1201720,680593,117277,2177450,1227090,595767,116427,1878620,1171700,714915,114572,2239910,1225240,615401,103850,464630,351636,3741130,480461,297896,3611260,468578,288376,3449590,455746,296065,3443010,470375,337898,3720450
1973750,1229310,99266,618259,1969560,1225660,617267,99050,1968220,1224790,628496,109421,1981670,1222330,634428,111126,1976860,1230800,626383,107737,1988850,1244180,653418,131958,1978810,1233740,642117,110580,452046,297215,3750500,481253,307099,3639880,497899,299299,3597010,478594,301298,3590790,475387,302131,3605520
1903680,1184500,93300,596689,1908970,1201560,603451,115024,1904240,1182020,603802,103808,1908700,1178300,608703,104749,1897980,1181810,601830,102979,1906810,1173790,601766,104422,1903330,1183710,612561,105152,445427,355098,3471740,475497,293921,3420450,468587,291106,3406700,462985,292061,3395650,459040,294022,3414160
1772650,1103640,86435,557040,1794400,1123510,564644,107737,1775100,1117060,566763,106406,1804920,1105320,568039,96692,1770230,1102220,564173,95484,1784550,1100590,575465,99577,1780880,1110660,576529,98176,422615,324765,3165180,447773,277493,3111020,445760,274739,3094330,438758,276932,3090430,436010,277789,3101410
1624660,1013570,77580,508280,1643230,1024860,521259,100682,1626400,1027440,540119,91223,1618080,1006950,518181,87387,1618980,1009830,514909,86038,1647180,1004280,523474,88901,1635570,1021050,537359,90844,389466,233401,2830190,411614,258509,2732580,410568,254340,2711470,404906,257825,2708790,404156,257323,2723640
1441610,910507,78690,455627,1486980,918861,471717,96435,1444140,895363,459619,76526,1443630,897387,459849,75727,1441640,899883,457680,75359,1442760,894960,461342,77485,1474370,911882,480388,80172,356936,220181,2432040,375047,233780,2306160,373823,231386,2298310,367257,234664,2295120,366306,233171,2300560
1253730,793371,69866,398331,1270870,801341,414112,85260,1252110,784217,398382,68993,1250670,783491,400015,75612,1246780,779139,397135,64325,1255590,775891,402375,65054,1277990,789954,416379,68156,314677,198351,1963000,331849,207596,1880360,329869,204699,1869260,327130,206787,1867180,324501,207314,1874940
1052660,657628,47653,331093,1098370,692358,388755,92947,1058750,657022,335616,52570,1073780,659782,337453,53113,1058350,661499,338454,52975,1066540,657508,337537,54064,1059430,665319,340095,59200,275515,175254,1531940,289131,180625,1477280,287216,178972,1471250,284413,179642,1467670,282107,180865,1473340
864165,549730,42324,274637,911665,569531,317669,74067,881924,546254,281139,42972,870843,546453,284634,51329,867199,542188,276478,41863,870979,540313,280258,43156,889169,540946,279218,42869,233444,144111,1182150,249063,153632,1118860,244565,151096,1115110,241101,153887,1112570,239764,152323,1112030
709803,439901,31287,224056,727138,456789,254398,58775,699145,437672,222776,36009,716271,434759,224981,33621,708294,438464,224577,33253,720517,436418,224909,33475,702919,438405,229768,34630,195472,124011,859495,204569,127804,815901,202917,126448,814076,200988,127067,811788,198712,127253,810188
555032,344709,22381,171375,574525,349760,182310,34106,552311,342606,176138,25493,556961,344312,176765,28885,548422,342291,175687,25129,564156,341713,176236,25523,550307,341984,179466,26252,158762,103022,606427,167919,104464,574926,167095,103312,574119,165490,104949,574046,160878,104278,572181
