,Measurement,Diffusion Coefficient in 10^(-9) m^2 s^(-1)
0,triplet_90_Msg1,1.3401436446796566
1,quartet_90_Msg1,1.3404886667797695
2,acidicH_90_Msg1,1.5324096216217984
3,H2O_90_Msg1,1.3440179830466361
4,triplet_90_Msg2,1.3016666719790482
5,quartet_90_Msg2,1.3143502154411244
6,acidicH_90_Msg2,1.2175488674667239
7,H2O_90_Msg2,1.0236356895094247
8,triplet_90_Msg3,1.3436796504555135
9,quartet_90_Msg3,1.3500216913714742
10,acidicH_90_Msg3,1.3523448812639225
11,H2O_90_Msg3,1.5453588418928619
12,triplet_90_Msg4,1.337075078270602
13,quartet_90_Msg4,1.34013401113883
14,acidicH_90_Msg4,1.3401530152408099
15,H2O_90_Msg4,1.4240516221012822
16,triplet_90_Msg5,1.3451492568800032
17,quartet_90_Msg5,1.3455001614695612
18,acidicH_90_Msg5,1.338828968250057
19,H2O_90_Msg5,1.5364447125785679
20,triplet_90_Msg6,1.3290906496491033
21,quartet_90_Msg6,1.349203344202063
22,acidicH_90_Msg6,1.359724911846989
23,H2O_90_Msg6,1.6182001964162267
24,triplet_90_Msg7,1.3488162369281673
25,quartet_90_Msg7,1.354344015867125
26,acidicH_90_Msg7,1.3520254463431736
27,H2O_90_Msg7,1.52190355795973
28,triplet_10_Msg1,1.1129159751640756
29,quartet_10_Msg1,1.236799037791903
30,acidicH+H2O_10_Msg1,1.9067357509342127
31,triplet_10_Msg2,1.1209887860749266
32,quartet_10_Msg2,1.129580329619666
33,acidicH+H2O_10_Msg2,1.9416587463919157
34,triplet_10_Msg3,1.137892334531099
35,quartet_10_Msg3,1.124867736629089
36,acidicH+H2O_10_Msg3,1.9350347205993317
37,triplet_10_Msg4,1.1232855380815125
38,quartet_10_Msg4,1.1192907854271843
39,acidicH+H2O_10_Msg4,1.9345699740334248
40,triplet_10_Msg5,1.13936973896364
41,quartet_10_Msg5,1.1274665712129348
42,acidicH+H2O_10_Msg5,1.9431772097655222
