,Measurement,Coefficient of Determination R^2
0,triplet_90_Msg1,0.9997596285464735
1,quartet_90_Msg1,0.9998171271459072
2,acidicH_90_Msg1,0.9808987671589043
3,H2O_90_Msg1,0.9997284208404507
4,triplet_90_Msg2,0.9997355608255154
5,quartet_90_Msg2,0.9992426260711245
6,acidicH_90_Msg2,0.9878625596340365
7,H2O_90_Msg2,0.8419623095366324
8,triplet_90_Msg3,0.9999180400658376
9,quartet_90_Msg3,0.9997915502381719
10,acidicH_90_Msg3,0.9989605144730108
11,H2O_90_Msg3,0.9941656483400819
12,triplet_90_Msg4,0.9996359065985677
13,quartet_90_Msg4,0.9999419219265576
14,acidicH_90_Msg4,0.9997580397683307
15,H2O_90_Msg4,0.9812058173706352
16,triplet_90_Msg5,0.9998787377845749
17,quartet_90_Msg5,0.9999648352747282
18,acidicH_90_Msg5,0.9999396075144222
19,H2O_90_Msg5,0.9998722022167621
20,triplet_90_Msg6,0.9995699143234118
21,quartet_90_Msg6,0.9997979147580939
22,acidicH_90_Msg6,0.99932975127264
23,H2O_90_Msg6,0.9903222456900649
24,triplet_90_Msg7,0.999683875401467
25,quartet_90_Msg7,0.999869632224895
26,acidicH_90_Msg7,0.9990417822220103
27,H2O_90_Msg7,0.9968727871123685
28,triplet_10_Msg1,0.9997497782224973
29,quartet_10_Msg1,0.9542769003471185
30,acidicH+H2O_10_Msg1,0.9997699480043674
31,triplet_10_Msg2,0.9996793755064189
32,quartet_10_Msg2,0.9998747447265391
33,acidicH+H2O_10_Msg2,0.9999782354899018
34,triplet_10_Msg3,0.9993783424491456
35,quartet_10_Msg3,0.9999424722093413
36,acidicH+H2O_10_Msg3,0.9999872914958753
37,triplet_10_Msg4,0.9999047667738027
38,quartet_10_Msg4,0.9998711716541357
39,acidicH+H2O_10_Msg4,0.9999866224107344
40,triplet_10_Msg5,0.9999754945719869
41,quartet_10_Msg5,0.9999281271747434
42,acidicH+H2O_10_Msg5,0.9999907448876387
